ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Fuel,Vent Type,Storage Volume (gallons),First Hour Rating (gallons),Maximum Gallons Per Minute,Minimum Gallons Per Minute,Draw Pattern (Intended Usage),Uniform Energy Factor (UEF),Therms/year for Natural Gas,Gallons/year for Propane,Max. Input Rate for Gas Products (Btu/hr),Max. Amps,Recovery Efficiency (%),Tank Height (inches),Height to Vent (inches),Tank Diameter (inches),Vent Size 1 (inches),Vent Size 2 (inches),Water Heater Depth (inches),Water Heater Height (inches),Water Heater Width (inches),Connected Capable,Connects Using,DR Protocol,Communication Hardware Architecture,Load Up Functionality,Optional Operational Mode Functionality,Time of Use Schedule,Primary Communication Module/Device Brand Name and Model Number,Is Broadband Internet Connection Needed for Demand Response?,Refrigerant Type,Refrigerant with GWP,Sound Pressure Level,Date Available On Market,Date Certified,Markets,CB Model Identifier,Tax Credit Eligible
2408832,Ariston USA LLC,HTP,Phoenix Light Duty,PH76-60****,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Direct Vent,58,157,,,High-Usage,0.88,192,209.83,76000,0.7,97,56.6,6.8,23,2,2,,,,No,,,,,,,,,,,,06/01/2013,11/12/2024,"United States, Canada",ES_29975_PH76-60****_02212023095454_864114,Yes
2408476,Ariston USA LLC,HTP,Phoenix Light Duty,PH76-80****,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,77,206,,,High-Usage,0.87,195,213.11,76000,0.7,94,69,6.8,23,2,2,,,,No,,,,,,,,,,,,06/01/2013,11/12/2024,"United States, Canada",ES_29975_PH76-80****_02212023095456_3425645,Yes
2408709,"Lochinvar, LLC",GSW WATER HEATERS,6G50100*PDVH 3**,6G50100*PDVH 3**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Vent,49,100,,,High-Usage,0.88,192,209.83,100000,5,95,55.7,8,18,2,3,,,,No,,,,,,,,,,,,09/07/2015,02/23/2023,"United States, Canada",ES_1028919_6G50100*PDVH 3**_02212023100519_7142919,Yes
2408725,"Lochinvar, LLC",GSW WATER HEATERS,6G5076NVC02 1**,6G5076NVC02 1**,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Vent,48,119,,,High-Usage,0.88,192,209.83,76000,5,93,51.9,7.9,18,2,3,,,,No,,,,,,,,,,,,03/12/2017,02/23/2023,"United States, Canada",ES_1028919_6G5076NVC02 1**_02212023100303_6992389,Yes
2408713,"Lochinvar, LLC",GSW WATER HEATERS,6G5076NVC 1**,6G5076NVC 1**,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Vent,48,119,,,High-Usage,0.88,192,209.83,76000,5,93,51.9,7.9,18,2,3,,,,No,,,,,,,,,,,,03/12/2017,02/23/2023,"United States, Canada",ES_1028919_6G5076NVC 1**_02212023100518_3039440,Yes
2408706,"Lochinvar, LLC",GSW WATER HEATERS,6G75100*PDVH0* 3**,6G75100*PDVH0* 3**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Vent,74,130,,,High-Usage,0.86,197,215.3,100000,5,96,51.9,8,22.5,2,3,,,,No,,,,,,,,,,,,09/10/2015,02/23/2023,"United States, Canada",ES_1028919_6G75100*PDVH0* 3**_02212023100520_9218739,Yes
2408707,"Lochinvar, LLC",RELIANCE WATER HEATERS,6-50-*TPDT 3**,6-50-*TPDT 3**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Vent,49,100,,,High-Usage,0.88,192,209.83,100000,5,95,55.7,8,18,2,3,,,,No,,,,,,,,,,,,09/07/2015,02/23/2023,United States,ES_1028919_6-50-*TPDT 3**_02212023100519_8077952,Yes
2408711,"Lochinvar, LLC",RELIANCE WATER HEATERS,6-50-YTVIT 1**,6-50-YTVIT 1**,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Vent,48,119,,,High-Usage,0.88,192,209.83,76000,5,93,51.9,7.9,18,2,3,,,,No,,,,,,,,,,,,03/12/2017,02/23/2023,United States,ES_1028919_6-50-YTVIT 1**_02212023100519_9245202,Yes
2408704,"Lochinvar, LLC",RELIANCE WATER HEATERS,6-75- *TPDT 3**,6-75- *TPDT 3**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Vent,74,130,,,High-Usage,0.86,197,215.3,100000,5,96,51.9,8,22.5,2,3,,,,No,,,,,,,,,,,,09/10/2015,02/23/2023,United States,ES_1028919_6-75- *TPDT 3**_02212023100520_8005482,Yes
2408819,"Lochinvar, LLC",State,GP6-50-*TPDT 3**,GP6-50-*TPDT 3**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,49,100,,,High-Usage,0.88,192,209.83,100000,5,95,55.7,8,18,2,3,,,,No,,,,,,,,,,,,09/07/2015,02/23/2023,United States,ES_1028919_GP6-50-*TPDT 3**_02212023100007_6932381,Yes
2408710,"Lochinvar, LLC",State,GP6-50-YTVIT 1**,GP6-50-YTVIT 1**,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Vent,48,119,,,High-Usage,0.88,192,209.83,76000,5,93,51.9,7.9,18,2,3,,,,No,,,,,,,,,,,,03/12/2017,02/23/2023,United States,ES_1028919_GP6-50-YTVIT 1**_02212023100519_7241876,Yes
2408818,"Lochinvar, LLC",State,GP6-75- *TPDT 3**,GP6-75- *TPDT 3**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,74,130,,,High-Usage,0.86,197,215.3,100000,5,96,51.9,8,22.5,2,3,,,,No,,,,,,,,,,,,09/10/2015,02/23/2023,United States,ES_1028919_GP6-75- *TPDT 3**_02212023100007_7868851,Yes
2408708,"Lochinvar, LLC",American,VG6250T100*V 3**,VG6250T100*V 3**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Vent,49,100,,,High-Usage,0.88,192,209.83,100000,5,95,55.7,8,18,2,3,,,,No,,,,,,,,,,,,09/07/2015,02/23/2023,United States,ES_1028919_VG6250T100*V 3**_02212023100519_8209916,Yes
2408712,"Lochinvar, LLC",American,VG6250T76NV 1**,VG6250T76NV 1**,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Vent,48,119,,,High-Usage,0.88,192,209.83,76000,5,93,51.9,7.9,18,2,3,,,,No,,,,,,,,,,,,03/12/2017,02/23/2023,United States,ES_1028919_VG6250T76NV 1**_02212023100518_7626443,Yes
2408705,"Lochinvar, LLC",American,VG6275T100*V 3**,VG6275T100*V 3**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Vent,74,130,,,High-Usage,0.86,197,215.3,100000,5,96,51.9,8,22.5,2,3,,,,No,,,,,,,,,,,,09/10/2015,02/23/2023,United States,ES_1028919_VG6275T100*V 3**_02212023100520_9497547,Yes
2408697,"Lochinvar, LLC",A. O. Smith,GDHE-50 3**,GDHE-50 3**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,49,100,,,High-Usage,0.88,192,209.83,100000,5,95,55.7,8,18,2,3,,,,No,,,,,,,,,,,,09/07/2015,02/23/2023,"United States, Canada",ES_1028919_GDHE-50 3**_02212023100523_5098933,Yes
2408696,"Lochinvar, LLC",A. O. Smith,GDHE-75 3**,GDHE-75 3**,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Vent,74,130,,,High-Usage,0.86,197,215.3,100000,5,96,51.9,8,22.5,2,3,,,,No,,,,,,,,,,,,09/10/2015,02/23/2023,"United States, Canada",ES_1028919_GDHE-75 3**_02212023100523_2780236,Yes
2408714,"Lochinvar, LLC",A. O. Smith,GPHE-50 1**,GPHE-50 1**,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Vent,48,119,,,High-Usage,0.88,192,209.83,76000,5,93,51.9,7.9,18,2,3,,,,No,,,,,,,,,,,,03/12/2017,02/23/2023,"United States, Canada",ES_1028919_GPHE-50 1**_02212023100518_1879868,Yes
3555212,"Rheem Sales Company, Inc.",Friedrich,Gas Storage,12PROG 50-100P FD HE EC3,,,Gas-fired Storage Residential-duty Commercial,Propane,Power Direct Vent,50,167,,,High-Usage,0.89,190,207.65,100000,7,96,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/07/2022,11/04/2024,United States,ES_1071043_12PROG 50-100P FD HE EC3_06052024004112_4287679,Yes
3555208,"Rheem Sales Company, Inc.",Friedrich,Gas Storage,12PROG 50-100U FD HE EC3,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Direct Vent,50,167,,,High-Usage,0.89,190,207.65,100000,7,96,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/07/2022,11/04/2024,United States,ES_1071043_12PROG 50-100U FD HE EC3_06052024004109_7952724,Yes
3555211,"Rheem Sales Company, Inc.",Friedrich,Gas Storage,12PROG 50-76P FD HE EC3,,,Gas-fired Storage Residential-duty Commercial,Propane,Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/07/2022,11/04/2024,United States,ES_1071043_12PROG 50-76P FD HE EC3_06052024004112_2693247,Yes
3555209,"Rheem Sales Company, Inc.",Friedrich,Gas Storage,12PROG 50-76U FD HE EC3,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/07/2022,11/04/2024,United States,ES_1071043_12PROG 50-76U FD HE EC3_06052024004110_8336411,Yes
3555213,"Rheem Sales Company, Inc.",Friedrich,Gas Storage,12PROG 75-100P FD HE EC3,,,Gas-fired Storage Residential-duty Commercial,Propane,Power Direct Vent,75,199,,,High-Usage,0.88,192,209.83,100000,7,95,64.5,62.6,26.3,2,3,,,,No,,,,,,,,,,,,12/05/2023,11/04/2024,United States,ES_1071043_12PROG 75-100P FD HE EC3_06052024004112_8842940,Yes
3555210,"Rheem Sales Company, Inc.",Friedrich,Gas Storage,12PROG 75-100U FD HE EC3,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Direct Vent,75,199,,,High-Usage,0.88,192,209.83,100000,7,95,64.5,62.6,26.3,2,3,,,,No,,,,,,,,,,,,12/05/2023,11/04/2024,United States,ES_1071043_12PROG 75-100U FD HE EC3_06052024004111_9923107,Yes
2408619,"Rheem Sales Company, Inc.",Rheem,Gas Storage,ECE G50-100U CN HE EC3,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Direct Vent,50,167,,,High-Usage,0.89,190,207.65,100000,7,96,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/14/2022,11/04/2024,"United States, Canada",ES_1071043_ECE G50-100U CN HE EC3_02212023101550_7415706,Yes
3555161,"Rheem Sales Company, Inc.",Rheem,Gas Storage,ECE G50-76U CN HE,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,06/01/2024,11/04/2024,Canada,ES_1071043_ECE G50-76U CN HE_04172024221344_9270653,Yes
2408627,"Rheem Sales Company, Inc.",Rheem,Gas Storage,ECE G50-76U CN HE EC3,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/14/2022,11/04/2024,"United States, Canada",ES_1071043_ECE G50-76U CN HE EC3_02212023101548_540920,Yes
2408622,"Rheem Sales Company, Inc.",Rheem,Gas Storage,PROP G50-100* CN HE EC3,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,50,167,,,High-Usage,0.89,190,207.65,100000,7,96,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/14/2022,11/04/2024,"United States, Canada",ES_1071043_PROP G50-100* CN HE EC3_02212023101549_3273958,Yes
2408643,"Rheem Sales Company, Inc.",Rheem,Gas Storage,PROP G50-100* RH HE EC3,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,50,167,,,High-Usage,0.89,190,207.65,100000,7,96,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/07/2022,11/04/2024,"United States, Canada",ES_1071043_PROP G50-100* RH HE EC3_02212023101538_4641085,Yes
2408630,"Rheem Sales Company, Inc.",Rheem,Gas Storage,PROP G50-76* CN HE EC3,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/14/2022,11/04/2024,"United States, Canada",ES_1071043_PROP G50-76* CN HE EC3_02212023101548_7818812,Yes
3555166,"Rheem Sales Company, Inc.",Rheem,Gas Storage,PROP G50-76P CN HE,,,Gas-fired Storage Residential-duty Commercial,Propane,Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,06/01/2024,11/04/2024,Canada,ES_1071043_PROP G50-76P CN HE_04182024003407_5015744,Yes
2408644,"Rheem Sales Company, Inc.",Rheem,Gas Storage,PROP G50-76* RH HE EC3,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/07/2022,11/04/2024,"United States, Canada",ES_1071043_PROP G50-76* RH HE EC3_02212023101538_7430679,Yes
3555167,"Rheem Sales Company, Inc.",Rheem,Gas Storage,PROP G50-76U CN HE,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,06/01/2024,11/04/2024,Canada,ES_1071043_PROP G50-76U CN HE_04182024003407_4019018,Yes
3387595,"Rheem Sales Company, Inc.",Rheem,Gas Storage,PROPG75-100P RH HE EC3,,,Gas-fired Storage Residential-duty Commercial,Propane,"Power Vent,Power Direct Vent",75,199,,,High-Usage,0.88,192,209.83,100000,7,95,64.5,62.6,26.3,2,3,,,,No,,,,,,,,,,,,12/05/2023,05/08/2025,United States,ES_1071043_PROPG75-100P RH HE EC3_10182023145835_5626284,Yes
3387594,"Rheem Sales Company, Inc.",Rheem,Gas Storage,PROPG75-100U RH HE EC3,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,"Power Vent,Power Direct Vent",75,199,,,High-Usage,0.88,192,209.83,100000,7,95,64.5,62.6,26.3,2,3,,,,No,,,,,,,,,,,,12/05/2023,05/08/2025,United States,ES_1071043_PROPG75-100U RH HE EC3_10182023145835_5505513,Yes
2408621,"Rheem Sales Company, Inc.",Rheem,Gas Storage,XG50T12UHN100*0,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Direct Vent,50,167,,,High-Usage,0.89,190,207.65,100000,7,96,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/14/2022,11/04/2024,"United States, Canada",ES_1071043_XG50T12UHN100*0_02212023101549_8457572,Yes
2408629,"Rheem Sales Company, Inc.",Rheem,Gas Storage,XG50T12UHN76*0,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/14/2022,11/04/2024,"United States, Canada",ES_1071043_XG50T12UHN76*0_02212023101548_7348315,Yes
3387596,"Rheem Sales Company, Inc.",Rheem,Gas Storage,XG75T12UHN100U0,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,"Power Vent,Power Direct Vent",75,199,,,High-Usage,0.88,192,209.83,100000,7,95,64.5,62.6,26.3,2,3,,,,No,,,,,,,,,,,,12/05/2023,05/08/2025,United States,ES_1071043_XG75T12UHN100U0_10182023145836_6895481,Yes
2408620,"Rheem Sales Company, Inc.",Rheem,Gas Storage,XP50T12UHC100U0,,,Gas-fired Storage Residential-duty Commercial,Propane,Power Direct Vent,50,167,,,High-Usage,0.89,190,207.65,100000,7,96,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/14/2022,11/04/2024,United States,ES_1071043_XP50T12UHC100U0_02212023101550_3316261,Yes
2408628,"Rheem Sales Company, Inc.",Rheem,Gas Storage,XP50T12UHC76U0,,,Gas-fired Storage Residential-duty Commercial,Propane,Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/14/2022,11/04/2024,United States,ES_1071043_XP50T12UHC76U0_02212023101548_1144560,Yes
3387597,"Rheem Sales Company, Inc.",Rheem,Gas Storage,XP75T12UHC100U0,,,Gas-fired Storage Residential-duty Commercial,Propane,"Power Vent,Power Direct Vent",75,199,,,High-Usage,0.88,192,209.83,100000,7,95,64.5,62.6,26.3,2,3,,,,No,,,,,,,,,,,,12/05/2023,05/08/2025,United States,ES_1071043_XP75T12UHC100U0_10182023145836_5262569,Yes
2408617,"Rheem Sales Company, Inc.",Richmond,Gas Storage,12GUH50-100F*,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,50,167,,,High-Usage,0.89,190,207.65,100000,7,96,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/14/2022,11/04/2024,United States,ES_1071043_12GUH50-100F*_02212023101550_5082994,Yes
2408625,"Rheem Sales Company, Inc.",Richmond,Gas Storage,12GUH50-76F*,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/14/2022,11/04/2024,United States,ES_1071043_12GUH50-76F*_02212023101549_1621942,Yes
3387600,"Rheem Sales Company, Inc.",Richmond,Gas Storage,12GUH75-100FN,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,"Power Vent,Power Direct Vent",75,199,,,High-Usage,0.88,192,209.83,100000,7,95,64.5,62.6,26.3,2,3,,,,No,,,,,,,,,,,,12/05/2023,05/08/2025,United States,ES_1071043_12GUH75-100FN_10182023145838_7560086,Yes
3387601,"Rheem Sales Company, Inc.",Richmond,Gas Storage,12GUH75-100FP,,,Gas-fired Storage Residential-duty Commercial,Propane,"Power Vent,Power Direct Vent",75,199,,,High-Usage,0.88,192,209.83,100000,7,95,64.5,62.6,26.3,2,3,,,,No,,,,,,,,,,,,12/05/2023,05/08/2025,United States,ES_1071043_12GUH75-100FP_10182023145838_9756739,Yes
3555162,"Rheem Sales Company, Inc.",Richmond,Gas Storage,6CG50-76P CR HE,,,Gas-fired Storage Residential-duty Commercial,Propane,Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,06/01/2024,11/04/2024,Canada,ES_1071043_6CG50-76P CR HE_04182024003402_3425078,Yes
3555163,"Rheem Sales Company, Inc.",Richmond,Gas Storage,6CG50-76U CR HE,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,06/01/2024,11/04/2024,Canada,ES_1071043_6CG50-76U CR HE_04182024003405_5570006,Yes
2408618,"Rheem Sales Company, Inc.",Ruud,Gas Storage,PROU G50-100* RU HE EC3,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,50,167,,,High-Usage,0.89,190,207.65,100000,7,96,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/14/2022,11/04/2024,United States,ES_1071043_PROU G50-100* RU HE EC3_02212023101550_3471436,Yes
3555164,"Rheem Sales Company, Inc.",Ruud,Gas Storage,PROU G50-76P CD HE,,,Gas-fired Storage Residential-duty Commercial,Propane,Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,06/01/2024,11/04/2024,Canada,ES_1071043_PROU G50-76P CD HE_04182024003405_8688415,Yes
2408626,"Rheem Sales Company, Inc.",Ruud,Gas Storage,PROU G50-76* RU HE EC3,,,Gas-fired Storage Residential-duty Commercial,"Natural Gas, Propane",Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,11/14/2022,11/04/2024,United States,ES_1071043_PROU G50-76* RU HE EC3_02212023101548_8849703,Yes
3555165,"Rheem Sales Company, Inc.",Ruud,Gas Storage,PROU G50-76U CD HE,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,Power Direct Vent,50,136,,,High-Usage,0.89,190,207.65,76000,7,95,65.5,10,21.8,2,3,,,,No,,,,,,,,,,,,06/01/2024,11/04/2024,Canada,ES_1071043_PROU G50-76U CD HE_04182024003407_6246811,Yes
3387599,"Rheem Sales Company, Inc.",Ruud,Gas Storage,PROUG75-100P RU HE EC3,,,Gas-fired Storage Residential-duty Commercial,Propane,"Power Vent,Power Direct Vent",75,199,,,High-Usage,0.88,192,209.83,100000,7,95,64.5,62.6,26.3,2,3,,,,No,,,,,,,,,,,,12/05/2023,05/08/2025,United States,ES_1071043_PROUG75-100P RU HE EC3_10182023145837_2970329,Yes
3387598,"Rheem Sales Company, Inc.",Ruud,Gas Storage,PROUG75-100U RU HE EC3,,,Gas-fired Storage Residential-duty Commercial,Natural Gas,"Power Vent,Power Direct Vent",75,199,,,High-Usage,0.88,192,209.83,100000,7,95,64.5,62.6,26.3,2,3,,,,No,,,,,,,,,,,,12/05/2023,05/08/2025,United States,ES_1071043_PROUG75-100U RU HE EC3_10182023145837_7670472,Yes
2408765,A.O. Smith Corporation,American,PCG62-40S50L 1**,PCG62-40S50L 1**,,,Gas Storage,Natural Gas,Power Vent,38,86,,,High-Usage,0.9,188,205.46,50000,2,91,44.7,21.5,22,2,3,,,,No,,,,,,,,,,,,10/01/2021,02/23/2023,"United States, Canada",ES_92897_PCG62-40S50L 1**_02212023100216_3961724,Yes
2408760,A.O. Smith Corporation,American,PCG62-50S65L 1**,PCG62-50S65L 1**,,,Gas Storage,Natural Gas,Power Vent,49,118,,,High-Usage,0.9,188,205.46,65000,2,92,54.5,23.5,22,3,4,,,,No,,,,,,,,,,,,10/01/2021,02/23/2023,"United States, Canada",ES_92897_PCG62-50S65L 1**_02212023100217_1147752,Yes
3798673,A.O. Smith Corporation,American,GPCT-40L 1**,PCG82-40S50L 1**,,,Gas Storage,"Natural Gas, Propane",Power Vent,38,86,,,High-Usage,0.9,188,205.46,50000,2,91,44.7,21.5,22,2,3,,,,No,,,,,,,,,,,,10/01/2021,11/13/2024,"United States, Canada",ES_92897_PCG82-40S50L 1**_08292024003144_9381181,Yes
